Baseline,LSTM,Linear,Neural
1.04150003,1.034088962,1.16E+00,1.04E+00
1.041932474,1.042728385,1.16E+00,1.04E+00
1.0425438,1.037416964,1.16E+00,1.04E+00
1.045279091,1.03982096,1.16E+00,1.05E+00
1.045783321,1.034231858,1.16E+00,1.05E+00
1.04617452,1.036323284,1.16E+00,1.06E+00
1.04617452,1.031260277,1.16E+00,1.05E+00
1.04617452,1.037943552,1.15E+00,1.05E+00
1.04630917,1.034472469,1.14E+00,1.04E+00
1.04630917,1.034631215,1.14E+00,1.05E+00
1.047266215,1.034708388,1.14E+00,1.04E+00
1.048068253,1.033693261,1.15E+00,1.04E+00
1.048068253,1.034946282,1.15E+00,1.05E+00
1.048068253,1.021019191,1.15E+00,1.04E+00
1.048068253,1.011164138,1.15E+00,1.04E+00
1.051105079,1.018576463,1.15E+00,1.04E+00
1.051394777,1.018446006,1.15E+00,1.04E+00
1.052252848,1.016596532,1.15E+00,1.05E+00
1.05391035,1.017591852,1.15E+00,1.04E+00
1.05503967,1.023852946,1.14E+00,1.04E+00
1.05503967,1.020375405,1.14E+00,1.04E+00
1.053892403,1.023075548,1.14E+00,1.03E+00
1.053892403,1.025047687,1.15E+00,1.03E+00
1.053892403,1.023115551,1.16E+00,1.04E+00
1.053892403,1.024031125,1.16E+00,1.04E+00
1.050283041,1.024187078,1.16E+00,1.04E+00
1.050283041,1.026169185,1.16E+00,1.04E+00
1.050503959,1.023625539,1.17E+00,1.03E+00
1.050847699,1.026773594,1.17E+00,1.03E+00
1.050847699,1.024877749,1.18E+00,1.05E+00
1.050847699,1.023628723,1.18E+00,1.06E+00
1.050847699,1.025825923,1.17E+00,1.05E+00
1.051085202,1.028121422,1.17E+00,1.05E+00
1.051233448,1.019229292,1.16E+00,1.06E+00
1.051375244,1.017451778,1.16E+00,1.07E+00
1.051375244,1.018230215,1.16E+00,1.06E+00
1.05183373,1.020979473,1.17E+00,1.06E+00
1.052887052,1.022244764,1.17E+00,1.05E+00
1.052887052,1.022303068,1.17E+00,1.05E+00
1.052887052,1.0225795,1.17E+00,1.05E+00
1.052887052,1.021155419,1.17E+00,1.05E+00
1.052887052,1.023942767,1.16E+00,1.05E+00
1.054208055,1.021429069,1.15E+00,1.05E+00
1.054889491,1.018438363,1.14E+00,1.05E+00
1.054889491,1.018999144,1.14E+00,1.05E+00
1.055774126,1.021390536,1.15E+00,1.05E+00
1.055774126,1.020967522,1.15E+00,1.05E+00
1.055774126,1.017370391,1.16E+00,1.05E+00
1.055774126,1.021729679,1.16E+00,1.05E+00
1.055774126,1.021330684,1.15E+00,1.05E+00
1.056039729,1.020995955,1.15E+00,1.05E+00
1.060819371,1.019672431,1.16E+00,1.05E+00
1.061043222,1.019207042,1.17E+00,1.06E+00
1.059803532,1.020387434,1.16E+00,1.05E+00
1.060393675,1.018825954,1.16E+00,1.06E+00
1.0610489,1.018794518,1.17E+00,1.05E+00
1.059829087,1.015911958,1.16E+00,1.05E+00
1.059829087,1.016553201,1.16E+00,1.05E+00
1.054289069,1.016814722,1.15E+00,1.07E+00
1.055010079,1.013569106,1.14E+00,1.07E+00
1.055099578,1.015668616,1.15E+00,1.07E+00
1.055099578,1.016194176,1.15E+00,1.07E+00
1.057212813,1.013085995,1.16E+00,1.06E+00
1.056979758,1.011382086,1.16E+00,1.06E+00
1.060224119,1.012903108,1.16E+00,1.06E+00
1.058985399,1.015192704,1.17E+00,1.06E+00
1.059407672,1.013994133,1.17E+00,1.07E+00
1.059673532,1.012452803,1.17E+00,1.06E+00
1.061638881,1.010214085,1.17E+00,1.06E+00
1.061638881,1.007606005,1.17E+00,1.06E+00
1.061638881,1.008781604,1.15E+00,1.07E+00
1.062835708,1.008676172,1.16E+00,1.06E+00
1.063140104,1.009884988,1.15E+00,1.05E+00
1.063140104,1.006183994,1.15E+00,1.06E+00
1.063140104,1.005701824,1.15E+00,1.07E+00
1.063140104,1.000508654,1.14E+00,1.07E+00
1.063140104,1.003275371,1.14E+00,1.08E+00
1.064888767,1.002848644,1.14E+00,1.08E+00
1.068126553,1.005101785,1.14E+00,1.08E+00
1.068126553,1.000724192,1.15E+00,1.09E+00
1.068060134,1.002404338,1.15E+00,1.08E+00
1.068060134,1.002217018,1.14E+00,1.08E+00
1.068201508,1.001304202,1.14E+00,1.08E+00
1.070946795,1.008360651,1.14E+00,1.09E+00
1.070102524,1.007690513,1.15E+00,1.08E+00
1.071972044,1.001329332,1.14E+00,1.07E+00
1.069396768,1.000787372,1.15E+00,1.07E+00
1.070082217,1.00641074,1.15E+00,1.07E+00
1.070988591,1.008416163,1.16E+00,1.07E+00
1.069410957,1.008192568,1.17E+00,1.09E+00
1.069416999,1.00715892,1.18E+00,1.10E+00
1.069470871,1.000082232,1.18E+00,1.10E+00
1.06982484,1.004328076,1.18E+00,1.09E+00
1.06982484,1.001621927,1.17E+00,1.10E+00
1.06982484,0.997307456,1.19E+00,1.10E+00
1.06982484,0.996126488,1.19E+00,1.11E+00
1.070353061,1.000714945,1.19E+00,1.11E+00
1.070576563,0.998073585,1.19E+00,1.12E+00
1.071125638,1.006171829,1.18E+00,1.12E+00
1.071125638,1.001567276,1.20E+00,1.12E+00
1.071125638,0.998098472,1.18E+00,1.12E+00
1.071125638,0.994986577,1.16E+00,1.13E+00
1.072499093,1.002399835,1.16E+00,1.13E+00
1.065913461,0.997500173,1.16E+00,1.12E+00
1.059613613,0.996731269,1.17E+00,1.12E+00
1.060141257,0.992704412,1.18E+00,1.13E+00
1.060141257,0.990170206,1.18E+00,1.12E+00
1.060141257,0.987759581,1.17E+00,1.12E+00
1.061448341,0.991700346,1.17E+00,1.12E+00
1.059815764,0.978039822,1.17E+00,1.13E+00
1.060539764,0.983221094,1.17E+00,1.12E+00
1.060655638,0.981480326,1.16E+00,1.13E+00
1.060655638,1.00086465,1.16E+00,1.12E+00
1.062617497,0.967040431,1.17E+00,1.12E+00
1.062733862,0.962454407,1.17E+00,1.13E+00
1.066331385,0.956397492,1.15E+00,1.14E+00
1.066331385,0.957880543,1.15E+00,1.14E+00
1.066331385,1.017417948,1.16E+00,1.13E+00
1.066331385,1.019282089,1.16E+00,1.13E+00
1.071224923,1.024438988,1.15E+00,1.13E+00
1.072530524,1.022794012,1.14E+00,1.12E+00
1.072530524,1.021362734,1.14E+00,1.13E+00
1.072577556,1.022009379,1.14E+00,1.12E+00
1.077382495,1.021080393,1.17E+00,1.10E+00
1.077382495,1.021336782,1.18E+00,1.10E+00
